# Created by auto-kappa
# 3ph scattering  : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_14x14x14/NaCl.self_isotope
# Temperature [K] : 50.00 to 1000.00
# Grain size [nm] : 3.16 to 100000.00
temperature[K],grain_size[nm],kave[W/mK],kxx[W/mK],kxy[W/mK],kxz[W/mK],kyx[W/mK],kyy[W/mK],kyz[W/mK],kzx[W/mK],kzy[W/mK],kzz[W/mK]
5.0000000e+01,3.1622777e+00,4.7029843e-01,4.7029586e-01,-9.4062748e-05,-6.1958264e-05,-9.4062748e-05,4.7028598e-01,-6.9126702e-05,-6.1958264e-05,-6.9126702e-05,4.7031346e-01
5.0000000e+01,3.9069399e+00,5.7365898e-01,5.7365591e-01,-1.1333718e-04,-7.4879428e-05,-1.1333718e-04,5.7364493e-01,-8.3102279e-05,-7.4879428e-05,-8.3102279e-05,5.7367611e-01
5.0000000e+01,4.8269574e+00,6.9811454e-01,6.9811089e-01,-1.3604819e-04,-9.0194070e-05,-1.3604819e-04,6.9809890e-01,-9.9520662e-05,-9.0194070e-05,-9.9520662e-05,6.9813383e-01
5.0000000e+01,5.9636233e+00,8.4732471e-01,8.4732039e-01,-1.6262974e-04,-1.0824443e-04,-1.6262974e-04,8.4730758e-01,-1.1868504e-04,-1.0824443e-04,-1.1868504e-04,8.4734617e-01
5.0000000e+01,7.3679546e+00,1.0253460e+00,1.0253409e+00,-1.9350864e-04,-1.2938727e-04,-1.9350864e-04,1.0253276e+00,-1.4089612e-04,-1.2938727e-04,-1.4089612e-04,1.0253696e+00
5.0000000e+01,9.1029818e+00,1.2365898e+00,1.2365838e+00,-2.2907961e-04,-1.5398034e-04,-2.2907961e-04,1.2365702e+00,-1.6643656e-04,-1.5398034e-04,-1.6643656e-04,1.2366153e+00
5.0000000e+01,1.1246578e+01,1.4857429e+00,1.4857359e+00,-2.6967493e-04,-1.8236362e-04,-2.6967493e-04,1.4857226e+00,-1.9555220e-04,-1.8236362e-04,-1.9555220e-04,1.4857701e+00
5.0000000e+01,1.3894955e+01,1.7776439e+00,1.7776358e+00,-3.1553105e-04,-2.1483600e-04,-3.1553105e-04,1.7776234e+00,-2.2843187e-04,-2.1483600e-04,-2.2843187e-04,1.7776726e+00
5.0000000e+01,1.7166979e+01,2.1171077e+00,2.1170982e+00,-3.6675645e-04,-2.5162916e-04,-3.6675645e-04,2.1170874e+00,-2.6518867e-04,-2.5162916e-04,-2.6518867e-04,2.1171375e+00
5.0000000e+01,2.1209509e+01,2.5086961e+00,2.5086852e+00,-4.2330550e-04,-2.9288188e-04,-4.2330550e-04,2.5086765e+00,-3.0584615e-04,-2.9288188e-04,-3.0584615e-04,2.5087266e+00
