# Temperature : 300
frequency,kcumu,kspec
-9.999999e-04,0.000000e+00,0.000000e+00
1.684313e+00,0.000000e+00,0.000000e+00
3.368627e+00,0.000000e+00,0.000000e+00
5.052940e+00,0.000000e+00,0.000000e+00
6.737253e+00,0.000000e+00,0.000000e+00
8.421567e+00,0.000000e+00,0.000000e+00
1.010588e+01,0.000000e+00,0.000000e+00
1.179019e+01,0.000000e+00,0.000000e+00
1.347451e+01,0.000000e+00,0.000000e+00
1.515882e+01,0.000000e+00,0.000000e+00
1.684313e+01,0.000000e+00,0.000000e+00
1.852745e+01,2.818017e-01,2.818017e-01
2.021176e+01,3.147018e-01,3.290010e-02
2.189607e+01,3.147018e-01,0.000000e+00
2.358039e+01,3.147018e-01,0.000000e+00
2.526470e+01,4.939800e-01,1.792782e-01
2.694901e+01,4.939800e-01,0.000000e+00
2.863333e+01,4.939800e-01,0.000000e+00
3.031764e+01,4.939800e-01,0.000000e+00
3.200195e+01,7.423591e-01,2.483791e-01
3.368627e+01,7.423591e-01,0.000000e+00
3.537058e+01,8.603418e-01,1.179827e-01
3.705489e+01,8.603418e-01,0.000000e+00
3.873921e+01,8.680353e-01,7.693468e-03
4.042352e+01,9.860909e-01,1.180556e-01
4.210783e+01,1.027674e+00,4.158338e-02
4.379215e+01,1.027674e+00,0.000000e+00
4.547646e+01,1.045165e+00,1.749082e-02
4.716077e+01,1.045165e+00,0.000000e+00
4.884509e+01,1.104881e+00,5.971604e-02
5.052940e+01,1.125010e+00,2.012917e-02
5.221371e+01,1.158786e+00,3.377571e-02
5.389803e+01,1.276371e+00,1.175855e-01
5.558234e+01,1.287241e+00,1.086962e-02
5.726665e+01,1.300181e+00,1.293970e-02
5.895097e+01,1.314492e+00,1.431157e-02
6.063528e+01,1.337460e+00,2.296808e-02
6.231959e+01,1.377655e+00,4.019441e-02
6.400391e+01,1.479791e+00,1.021365e-01
6.568822e+01,1.536407e+00,5.661558e-02
6.737253e+01,1.558470e+00,2.206328e-02
6.905685e+01,1.595337e+00,3.686656e-02
7.074116e+01,1.619828e+00,2.449152e-02
7.242547e+01,1.662331e+00,4.250239e-02
7.410979e+01,1.662627e+00,2.964097e-04
7.579410e+01,1.736942e+00,7.431479e-02
7.747841e+01,1.770913e+00,3.397134e-02
7.916273e+01,1.862696e+00,9.178316e-02
8.084704e+01,1.924210e+00,6.151364e-02
8.253135e+01,1.977279e+00,5.306942e-02
8.421567e+01,2.028446e+00,5.116625e-02
8.589998e+01,2.074812e+00,4.636677e-02
8.758429e+01,2.161363e+00,8.655024e-02
8.926861e+01,2.215593e+00,5.422989e-02
9.095292e+01,2.273945e+00,5.835247e-02
9.263723e+01,2.316153e+00,4.220791e-02
9.432155e+01,2.405194e+00,8.904136e-02
9.600586e+01,2.470192e+00,6.499807e-02
9.769017e+01,2.578316e+00,1.081241e-01
9.937449e+01,2.624670e+00,4.635310e-02
1.010588e+02,2.642107e+00,1.743711e-02
1.027431e+02,2.682335e+00,4.022783e-02
1.044274e+02,2.717420e+00,3.508505e-02
1.061117e+02,2.838738e+00,1.213185e-01
1.077961e+02,2.856928e+00,1.819003e-02
1.094804e+02,2.871902e+00,1.497336e-02
1.111647e+02,2.877284e+00,5.382312e-03
1.128490e+02,2.883617e+00,6.333140e-03
1.145333e+02,2.884023e+00,4.063524e-04
1.162176e+02,2.964720e+00,8.069635e-02
1.179019e+02,2.984590e+00,1.987061e-02
1.195862e+02,3.049448e+00,6.485734e-02
1.212706e+02,3.074416e+00,2.496794e-02
1.229549e+02,3.117316e+00,4.290092e-02
1.246392e+02,3.118358e+00,1.041254e-03
1.263235e+02,3.168299e+00,4.994140e-02
1.280078e+02,3.191908e+00,2.360843e-02
1.296921e+02,3.228746e+00,3.683863e-02
1.313764e+02,3.261246e+00,3.250009e-02
1.330608e+02,3.271428e+00,1.018181e-02
1.347451e+02,3.349354e+00,7.792602e-02
1.364294e+02,3.391763e+00,4.240844e-02
1.381137e+02,3.446423e+00,5.466067e-02
1.397980e+02,3.472036e+00,2.561262e-02
1.414823e+02,3.488436e+00,1.640052e-02
