# Temperature : 300
mfp,kcumu,kspec
-1.000000e-03,1.221416e+00,1.221416e+00
5.140244e+00,1.264825e+00,4.340885e-02
5.284421e+00,1.322912e+00,5.808708e-02
5.432642e+00,1.322912e+00,0.000000e+00
5.585021e+00,1.330602e+00,7.689820e-03
5.741673e+00,1.341920e+00,1.131770e-02
5.902720e+00,1.404229e+00,6.230929e-02
6.068284e+00,1.436390e+00,3.216130e-02
6.238491e+00,1.488601e+00,5.221102e-02
6.413473e+00,1.507232e+00,1.863096e-02
6.593363e+00,1.614500e+00,1.072678e-01
6.778298e+00,1.646168e+00,3.166775e-02
6.968421e+00,1.691522e+00,4.535447e-02
7.163876e+00,1.738172e+00,4.664959e-02
7.364813e+00,1.738172e+00,0.000000e+00
7.571387e+00,1.738172e+00,0.000000e+00
7.783755e+00,1.784305e+00,4.613293e-02
8.002079e+00,1.806418e+00,2.211335e-02
8.226527e+00,1.828350e+00,2.193161e-02
8.457270e+00,1.894231e+00,6.588075e-02
8.694486e+00,1.982953e+00,8.872263e-02
8.938355e+00,2.045000e+00,6.204645e-02
9.189065e+00,2.061855e+00,1.685520e-02
9.446806e+00,2.132187e+00,7.033178e-02
9.711777e+00,2.147018e+00,1.483104e-02
9.984180e+00,2.234730e+00,8.771210e-02
1.026422e+01,2.234730e+00,0.000000e+00
1.055212e+01,2.281779e+00,4.704954e-02
1.084809e+01,2.368280e+00,8.650055e-02
1.115237e+01,2.437383e+00,6.910264e-02
1.146518e+01,2.519479e+00,8.209614e-02
1.178676e+01,2.519479e+00,0.000000e+00
1.211737e+01,2.551005e+00,3.152666e-02
1.245724e+01,2.568254e+00,1.724835e-02
1.280665e+01,2.568254e+00,0.000000e+00
1.316586e+01,2.584090e+00,1.583675e-02
1.353515e+01,2.612528e+00,2.843713e-02
1.391479e+01,2.612528e+00,0.000000e+00
1.430508e+01,2.612528e+00,0.000000e+00
1.470632e+01,2.657871e+00,4.534357e-02
1.511882e+01,2.657871e+00,0.000000e+00
1.554288e+01,2.657871e+00,0.000000e+00
1.597884e+01,2.695136e+00,3.726432e-02
1.642702e+01,2.724730e+00,2.959474e-02
