# Created by auto-kappa
# 3ph scattering  : ./mp-22862/cube/kappa_fd_17x17x17/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_17x17x17/NaCl.self_isotope
# Temperature [K] : 50.00 to 1000.00
# Grain size [nm] : 3.16 to 100000.00
temperature[K],grain_size[nm],kxx[W/mK],kxy[W/mK],kxz[W/mK],kyx[W/mK],kyy[W/mK],kyz[W/mK],kzx[W/mK],kzy[W/mK],kzz[W/mK],kave[W/mK]
5.0000000e+01,3.1622777e+00,4.7657094e-01,-5.1298544e-06,-5.4431354e-06,-5.1298544e-06,4.7657094e-01,-5.2864949e-06,-5.4431354e-06,-5.2864949e-06,4.7657094e-01,4.7657094e-01
5.0000000e+01,3.9069399e+00,5.8131746e-01,-6.3435545e-06,-6.7213972e-06,-6.3435545e-06,5.8131746e-01,-6.5324758e-06,-6.7213972e-06,-6.5324758e-06,5.8131746e-01,5.8131746e-01
5.0000000e+01,4.8269574e+00,7.0743689e-01,-7.8219113e-06,-8.2753385e-06,-7.8219113e-06,7.0743689e-01,-8.0486249e-06,-8.2753385e-06,-8.0486249e-06,7.0743689e-01,7.0743689e-01
5.0000000e+01,5.9636233e+00,8.5863264e-01,-9.6109420e-06,-1.0151925e-05,-9.6109420e-06,8.5863264e-01,-9.8814333e-06,-1.0151925e-05,-9.8814333e-06,8.5863264e-01,8.5863264e-01
5.0000000e+01,7.3679546e+00,1.0390077e+00,-1.1760219e-05,-1.2401415e-05,-1.1760219e-05,1.0390077e+00,-1.2080817e-05,-1.2401415e-05,-1.2080817e-05,1.0390077e+00,1.0390077e+00
5.0000000e+01,9.1029818e+00,1.2530208e+00,-1.4321606e-05,-1.5075985e-05,-1.4321606e-05,1.2530208e+00,-1.4698795e-05,-1.5075985e-05,-1.4698795e-05,1.2530208e+00,1.2530208e+00
5.0000000e+01,1.1246578e+01,1.5054051e+00,-1.7347371e-05,-1.8227741e-05,-1.7347371e-05,1.5054051e+00,-1.7787556e-05,-1.8227741e-05,-1.7787556e-05,1.5054051e+00,1.5054051e+00
5.0000000e+01,1.3894955e+01,1.8010407e+00,-2.0887588e-05,-2.1906043e-05,-2.0887588e-05,1.8010407e+00,-2.1396815e-05,-2.1906043e-05,-2.1396815e-05,1.8010407e+00,1.8010407e+00
5.0000000e+01,1.7166979e+01,2.1447733e+00,-2.4986809e-05,-2.6154162e-05,-2.4986809e-05,2.1447733e+00,-2.5570485e-05,-2.6154162e-05,-2.5570485e-05,2.1447733e+00,2.1447733e+00
5.0000000e+01,2.1209509e+01,2.5411792e+00,-2.9680126e-05,-3.1005366e-05,-2.9680126e-05,2.5411792e+00,-3.0342746e-05,-3.1005366e-05,-3.0342746e-05,2.5411792e+00,2.5411792e+00
