# Created by auto-kappa in a format similar to ALAMODE
# Input file   : ./mp-22862/cube/kappa_fd_17x17x17/NaCl.result
# Isotope      : ./mp-22862/cube/kappa_fd_17x17x17/NaCl.self_isotope
# Temperature  : 500 K
# kpoint range : 1 165
# mode   range : 1 6
ik,is,frequency[cm^-1],lifetime[ps],|velocity|[m/s],MFP[nm],multiplicity,kxx,kxy,kxz,kyx,kyy,kyz,kzx,kzy,kzz
1,1,1.0973700e-10,0.0000000e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,2,1.0973700e-10,0.0000000e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,3,1.0973700e-10,0.0000000e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,4,1.6798600e+02,1.5900844e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,5,1.6798600e+02,1.9240413e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
1,6,1.6798600e+02,1.9240413e+00,0.0000000e+00,0.0000000e+00,1,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,1,1.6718200e+01,6.3680848e+00,2.7333159e+03,1.7405987e+04,8,1.0137946e-03,1.2753750e-09,1.2753750e-09,1.2753750e-09,1.0137946e-03,1.2753750e-09,1.2753750e-09,1.2753750e-09,1.0137946e-03
2,2,1.6718200e+01,5.8346330e+00,2.7353597e+03,1.5959820e+04,8,9.3025907e-04,1.1817785e-09,1.1817785e-09,1.1817785e-09,9.3025907e-04,1.1817785e-09,1.1817785e-09,1.1817785e-09,9.3025907e-04
2,3,2.6861300e+01,4.0464014e+01,4.4014529e+03,1.7810045e+05,8,1.6698979e-02,2.5859393e-13,2.5859393e-13,2.5859393e-13,1.6698979e-02,2.5859393e-13,2.5859393e-13,2.5859393e-13,1.6698979e-02
2,4,1.6877700e+02,1.3999524e+00,2.4031620e+02,3.3643123e+02,8,1.6896824e-06,4.5029410e-12,4.5029410e-12,4.5029410e-12,1.6896824e-06,4.5029410e-12,4.5029410e-12,4.5029410e-12,1.6896824e-06
2,5,1.6877700e+02,1.2009571e+00,2.4057774e+02,2.8892354e+02,8,1.4526604e-06,3.8970580e-12,3.8970580e-12,3.8970580e-12,1.4526604e-06,3.8970580e-12,3.8970580e-12,3.8970580e-12,1.4526604e-06
